train_loss_step,epoch,step,train_loss_epoch
0.33839771151542664,0,49,
0.28241294622421265,0,99,
0.27201077342033386,0,149,
0.27109819650650024,0,199,
0.25448375940322876,0,249,
0.2694392502307892,0,299,
0.26367267966270447,0,349,
0.24224038422107697,0,399,
0.2564323842525482,0,449,
0.24446596205234528,0,499,
0.25437402725219727,0,549,
0.25028151273727417,0,599,
0.23805920779705048,0,649,
,0,682,0.2766510844230652
0.27455633878707886,1,699,
0.2291882336139679,1,749,
0.2915225625038147,1,799,
0.23797260224819183,1,849,
0.22516858577728271,1,899,
0.22798694670200348,1,949,
0.23841990530490875,1,999,
0.24021492898464203,1,1049,
0.2271021455526352,1,1099,
0.22707033157348633,1,1149,
0.23043355345726013,1,1199,
0.2355460226535797,1,1249,
0.23141925036907196,1,1299,
0.24340660870075226,1,1349,
,1,1365,0.23406583070755005
0.22851619124412537,2,1399,
0.2151743620634079,2,1449,
0.2174491584300995,2,1499,
0.22191664576530457,2,1549,
0.2204287350177765,2,1599,
0.2214430719614029,2,1649,
0.22322063148021698,2,1699,
0.22232985496520996,2,1749,
0.21720361709594727,2,1799,
0.21856185793876648,2,1849,
0.21685543656349182,2,1899,
0.22311046719551086,2,1949,
0.21750007569789886,2,1999,
,2,2048,0.22304759919643402
0.21780657768249512,3,2049,
0.22204194962978363,3,2099,
0.2300628274679184,3,2149,
0.21633575856685638,3,2199,
0.2236560434103012,3,2249,
0.21866118907928467,3,2299,
0.2190798819065094,3,2349,
0.22415152192115784,3,2399,
0.2175346314907074,3,2449,
0.2217685878276825,3,2499,
0.2217547595500946,3,2549,
0.21960580348968506,3,2599,
0.22027413547039032,3,2649,
0.22117535769939423,3,2699,
,3,2731,0.2187521904706955
0.2231636345386505,4,2749,
0.21049118041992188,4,2799,
0.21710535883903503,4,2849,
0.209377259016037,4,2899,
0.22040660679340363,4,2949,
0.22612731158733368,4,2999,
0.20681631565093994,4,3049,
0.21132434904575348,4,3099,
0.21413667500019073,4,3149,
0.20748673379421234,4,3199,
0.21490757167339325,4,3249,
0.21139861643314362,4,3299,
0.21844002604484558,4,3349,
0.21807870268821716,4,3399,
,4,3414,0.2161511778831482
