train_loss_step,epoch,step,train_loss_epoch
0.36592504382133484,0,49,
0.3044469952583313,0,99,
0.3188483715057373,0,149,
0.2921195328235626,0,199,
0.2655150592327118,0,249,
0.2919219434261322,0,299,
0.2867872416973114,0,349,
0.25902092456817627,0,399,
0.2528865933418274,0,449,
0.24224574863910675,0,499,
0.2670363485813141,0,549,
0.2551773190498352,0,599,
0.24613222479820251,0,649,
,0,682,0.28837335109710693
0.2704242169857025,1,699,
0.24488864839076996,1,749,
0.23972783982753754,1,799,
0.23619553446769714,1,849,
0.2399231642484665,1,899,
0.23959411680698395,1,949,
0.2499542236328125,1,999,
0.23734021186828613,1,1049,
0.24134574830532074,1,1099,
0.23623180389404297,1,1149,
0.23599252104759216,1,1199,
0.24460290372371674,1,1249,
0.23678652942180634,1,1299,
0.24124686419963837,1,1349,
,1,1365,0.23848940432071686
0.23409895598888397,2,1399,
0.2152094542980194,2,1449,
0.22812248766422272,2,1499,
0.23134338855743408,2,1549,
0.22187979519367218,2,1599,
0.23063720762729645,2,1649,
0.23000788688659668,2,1699,
0.22036407887935638,2,1749,
0.22049324214458466,2,1799,
0.23287704586982727,2,1849,
0.2147986888885498,2,1899,
0.2284240424633026,2,1949,
0.22660188376903534,2,1999,
,2,2048,0.2287571132183075
0.21738028526306152,3,2049,
0.22480164468288422,3,2099,
0.2325020730495453,3,2149,
0.2224489003419876,3,2199,
0.22943438589572906,3,2249,
0.22204579412937164,3,2299,
0.22818411886692047,3,2349,
0.23240430653095245,3,2399,
0.21802949905395508,3,2449,
0.24782776832580566,3,2499,
0.2272617518901825,3,2549,
0.22373293340206146,3,2599,
0.2243739664554596,3,2649,
0.22804559767246246,3,2699,
,3,2731,0.22381927073001862
0.225933238863945,4,2749,
0.21629966795444489,4,2799,
0.2144835889339447,4,2849,
0.21340322494506836,4,2899,
0.2279781997203827,4,2949,
0.24399933218955994,4,2999,
0.21029186248779297,4,3049,
0.21494923532009125,4,3099,
0.21815967559814453,4,3149,
0.2089955359697342,4,3199,
0.22236879169940948,4,3249,
0.21919046342372894,4,3299,
0.21636538207530975,4,3349,
0.2187652289867401,4,3399,
,4,3414,0.22017265856266022
