,split,gain,gain_rank
discount,1381,14417.285596072674,3
third_category_id,1075,20647.587719380856,1
so_hours,1046,7986.793917059898,6
CV2,1006,7055.046980559826,7
mean_sales,937,10080.946552753448,5
std_sales,911,11826.219827890396,4
so_rate,765,6777.9444969296455,9
city_id,558,6580.688093006611,10
second_category_id,452,6779.748122870922,8
zero_frac,376,3198.4849999547005,12
first_category_id,374,5051.516126334667,11
management_group_id,119,17424.876438498497,2
total_sales,0,0.0,13
